batch_time_id,provider,time_to_execute,block_timestamp,block_number
2024-07-22 01:03:54,chainstack,0.17,2024-07-22 01:03:47,20358667
2024-07-22 01:03:54,alchemy,0.16,2024-07-22 01:03:47,20358667
2024-07-22 01:03:54,ankr,0.22,2024-07-22 01:03:47,20358667
2024-07-22 01:03:54,quicknode,0.07,2024-07-22 01:03:47,20358667
2024-07-22 01:03:54,infura,0.18,2024-07-22 01:03:47,20358667
2024-07-22 01:03:54,getblock,0.43,2024-07-22 01:03:47,20358667
2024-07-22 01:03:56,chainstack,0.13,2024-07-22 01:03:47,20358667
2024-07-22 01:03:56,alchemy,0.17,2024-07-22 01:03:47,20358667
2024-07-22 01:03:56,ankr,0.18,2024-07-22 01:03:47,20358667
2024-07-22 01:03:56,quicknode,0.11,2024-07-22 01:03:47,20358667
2024-07-22 01:03:56,infura,0.13,2024-07-22 01:03:47,20358667
2024-07-22 01:03:56,getblock,0.41,2024-07-22 01:03:47,20358667
2024-07-22 01:03:57,chainstack,0.14,2024-07-22 01:03:47,20358667
2024-07-22 01:03:57,alchemy,0.14,2024-07-22 01:03:47,20358667
2024-07-22 01:03:57,ankr,0.2,2024-07-22 01:03:47,20358667
2024-07-22 01:03:57,quicknode,0.09,2024-07-22 01:03:47,20358667
2024-07-22 01:03:57,infura,0.03,2024-07-22 01:03:47,20358667
2024-07-22 01:03:57,getblock,0.16,2024-07-22 01:03:47,20358667
2024-07-22 01:03:59,chainstack,0.04,2024-07-22 01:03:47,20358667
2024-07-22 01:03:59,alchemy,0.06,2024-07-22 01:03:47,20358667
2024-07-22 01:03:59,ankr,0.11,2024-07-22 01:03:47,20358667
2024-07-22 01:03:59,quicknode,0.01,2024-07-22 01:03:47,20358667
2024-07-22 01:03:59,infura,0.03,2024-07-22 01:03:47,20358667
2024-07-22 01:03:59,getblock,0.17,2024-07-22 01:03:47,20358667
2024-07-22 01:04:00,chainstack,0.11,2024-07-22 01:03:47,20358667
2024-07-22 01:04:00,alchemy,0.14,2024-07-22 01:03:47,20358667
2024-07-22 01:04:00,ankr,0.1,2024-07-22 01:03:47,20358667
2024-07-22 01:04:00,quicknode,0.01,2024-07-22 01:03:47,20358667
2024-07-22 01:04:00,infura,0.03,2024-07-22 01:03:47,20358667
2024-07-22 01:04:00,getblock,0.14,2024-07-22 01:03:47,20358667
2024-07-22 01:04:01,chainstack,0.04,2024-07-22 01:03:59,20358668
2024-07-22 01:04:01,alchemy,0.07,2024-07-22 01:03:59,20358668
2024-07-22 01:04:01,ankr,0.08,2024-07-22 01:03:47,20358667
2024-07-22 01:04:01,quicknode,0.03,2024-07-22 01:03:59,20358668
2024-07-22 01:04:01,infura,0.04,2024-07-22 01:03:59,20358668
2024-07-22 01:04:01,getblock,0.14,2024-07-22 01:03:59,20358668
2024-07-22 01:04:02,chainstack,0.03,2024-07-22 01:03:59,20358668
